"tanggal","stasiun","pm25","pm10","so2","co","o3","no2","max","critical","categori"
"2024-11-14","DKI1 (Bunderan HI)",96,61,19,26,9,34,96,"PM25","SEDANG"
"2024-11-15","DKI1 (Bunderan HI)",106,69,22,31,13,49,106,"PM25","TIDAK SEHAT"
"2024-11-16","DKI1 (Bunderan HI)",109,76,12,28,13,40,109,"PM25","TIDAK SEHAT"
"2024-11-17","DKI1 (Bunderan HI)",115,76,11,38,14,47,115,"PM25","TIDAK SEHAT"
"2024-11-18","DKI1 (Bunderan HI)",68,52,9,25,9,32,68,"PM25","SEDANG"
"2024-11-19","DKI1 (Bunderan HI)",61,38,10,28,16,36,61,"PM25","SEDANG"
"2024-11-20","DKI1 (Bunderan HI)",62,44,13,28,19,40,62,"PM25","SEDANG"
"2024-11-21","DKI1 (Bunderan HI)",64,46,16,26,16,36,64,"PM25","SEDANG"
"2024-11-22","DKI1 (Bunderan HI)",48,32,13,24,17,31,48,"PM25","BAIK"
"2024-11-23","DKI1 (Bunderan HI)",54,34,12,26,18,29,54,"PM25","SEDANG"
"2024-11-24","DKI1 (Bunderan HI)",51,40,10,25,11,22,51,"PM25","SEDANG"
"2024-11-25","DKI1 (Bunderan HI)",44,31,14,24,14,27,44,"PM25","BAIK"
"2024-11-26","DKI1 (Bunderan HI)",55,40,13,26,14,29,55,"PM25","SEDANG"
"2024-11-27","DKI1 (Bunderan HI)",NA,50,10,33,10,27,50,"PM10","BAIK"
"2024-11-28","DKI1 (Bunderan HI)",42,30,9,25,9,24,42,"PM25","BAIK"
"2024-11-29","DKI1 (Bunderan HI)",32,29,10,23,8,21,32,"PM25","BAIK"
"2024-11-30","DKI1 (Bunderan HI)",40,27,10,22,7,16,40,"PM25","BAIK"
"2024-12-01","DKI1 (Bunderan HI)",65,32,67,7,9,40,67,"SO2","BAIK"
"2024-12-02","DKI1 (Bunderan HI)",52,19,67,6,9,33,67,"SO2","BAIK"
"2024-12-03","DKI1 (Bunderan HI)",31,19,67,4,12,15,67,"SO2","BAIK"
"2024-12-04","DKI1 (Bunderan HI)",45,30,67,7,10,22,67,"SO2","BAIK"
"2024-12-05","DKI1 (Bunderan HI)",26,17,67,3,12,13,67,"SO2","BAIK"
"2024-12-06","DKI1 (Bunderan HI)",47,26,68,4,11,17,68,"SO2","BAIK"
"2024-12-07","DKI1 (Bunderan HI)",103,66,69,27,12,98,103,"PM25","SEDANG"
"2024-12-08","DKI1 (Bunderan HI)",67,38,68,15,18,57,68,"SO2","SEDANG"
"2024-12-09","DKI1 (Bunderan HI)",69,42,69,11,11,29,69,"PM25","SEDANG"
"2024-12-10","DKI1 (Bunderan HI)",56,38,68,12,7,61,68,"SO2","BAIK"
"2024-12-11","DKI1 (Bunderan HI)",26,14,68,3,11,15,68,"SO2","BAIK"
"2024-12-12","DKI1 (Bunderan HI)",40,19,68,3,13,10,68,"SO2","BAIK"
"2024-12-13","DKI1 (Bunderan HI)",52,21,69,4,13,14,69,"SO2","BAIK"
"2024-12-14","DKI1 (Bunderan HI)",40,22,68,4,11,15,68,"SO2","BAIK"
"2024-12-15","DKI1 (Bunderan HI)",40,18,68,6,10,21,68,"SO2","BAIK"
"2024-12-16","DKI1 (Bunderan HI)",48,27,68,5,10,21,68,"SO2","BAIK"
"2024-12-17","DKI1 (Bunderan HI)",37,27,68,6,10,30,68,"SO2","BAIK"
"2024-12-18","DKI1 (Bunderan HI)",67,50,69,8,8,59,69,"SO2","BAIK"
"2024-12-19","DKI1 (Bunderan HI)",35,18,68,5,8,27,68,"SO2","BAIK"
"2024-12-20","DKI1 (Bunderan HI)",46,25,69,5,10,32,69,"SO2","BAIK"
"2024-12-21","DKI1 (Bunderan HI)",53,23,26,5,11,30,53,"PM25","BAIK"
"2024-12-22","DKI1 (Bunderan HI)",80,53,16,11,13,31,80,"PM25","SEDANG"
"2024-12-23","DKI1 (Bunderan HI)",78,52,12,15,11,45,78,"PM25","BAIK"
"2024-12-24","DKI1 (Bunderan HI)",55,38,12,9,10,33,55,"PM25","SEDANG"
"2024-12-25","DKI1 (Bunderan HI)",79,52,12,11,11,52,79,"PM25","SEDANG"
"2024-12-26","DKI1 (Bunderan HI)",62,39,12,11,9,35,62,"PM25","SEDANG"
"2024-12-27","DKI1 (Bunderan HI)",83,53,12,10,11,36,83,"PM25","SEDANG"
"2024-12-28","DKI1 (Bunderan HI)",101,64,14,9,11,35,101,"PM25","SEDANG"
"2024-12-29","DKI1 (Bunderan HI)",21,51,13,10,13,35,51,"PM10","SEDANG"
"2024-12-30","DKI1 (Bunderan HI)",10,35,13,5,12,13,35,"PM10","BAIK"
"2024-12-31","DKI1 (Bunderan HI)",11,29,6,13,10,18,29,"PM10","BAIK"
"2025-01-01","DKI1 (Bunderan HI)",63,46,12,22,10,16,63,"PM25","SEDANG"
"2025-01-02","DKI1 (Bunderan HI)",38,30,12,21,11,18,38,"PM25","BAIK"
"2025-01-03","DKI1 (Bunderan HI)",57,43,14,23,11,24,57,"PM25","SEDANG"
"2025-01-04","DKI1 (Bunderan HI)",61,37,15,22,9,17,61,"PM25","SEDANG"
"2025-01-05","DKI1 (Bunderan HI)",56,26,10,20,8,11,56,"PM25","SEDANG"
"2025-01-06","DKI1 (Bunderan HI)",58,47,14,28,9,21,58,"PM25","SEDANG"
"2025-01-07","DKI1 (Bunderan HI)",46,33,13,24,7,19,46,"PM25","BAIK"
"2025-01-08","DKI1 (Bunderan HI)",46,30,12,24,7,19,46,"PM25","BAIK"
"2025-01-09","DKI1 (Bunderan HI)",26,20,9,23,7,19,26,"PM25","BAIK"
"2025-01-10","DKI1 (Bunderan HI)",58,39,NA,19,12,25,58,"PM25","SEDANG"
"2025-01-11","DKI1 (Bunderan HI)",56,41,NA,10,18,27,56,"PM25","SEDANG"
"2025-01-12","DKI1 (Bunderan HI)",58,45,19,13,13,25,58,"PM25","SEDANG"
"2025-01-13","DKI1 (Bunderan HI)",37,28,12,11,9,18,37,"PM25","BAIK"
"2025-01-14","DKI1 (Bunderan HI)",54,32,51,15,6,13,54,"PM25","SEDANG"
"2025-01-15","DKI1 (Bunderan HI)",51,34,62,15,8,23,62,"SO2","SEDANG"
"2025-01-16","DKI1 (Bunderan HI)",57,40,62,15,6,25,62,"SO2","SEDANG"
"2025-01-17","DKI1 (Bunderan HI)",55,33,NA,14,7,25,55,"PM25","SEDANG"
"2025-01-18","DKI1 (Bunderan HI)",34,24,29,11,10,21,34,"PM25","BAIK"
"2025-01-19","DKI1 (Bunderan HI)",50,29,34,12,10,20,50,"PM25","BAIK"
"2025-01-20","DKI1 (Bunderan HI)",39,25,30,10,11,22,39,"PM25","BAIK"
"2025-01-21","DKI1 (Bunderan HI)",52,32,23,19,7,31,52,"PM25","SEDANG"
"2025-01-22","DKI1 (Bunderan HI)",51,31,28,17,7,29,51,"PM25","SEDANG"
"2025-01-23","DKI1 (Bunderan HI)",59,38,26,16,11,33,59,"PM25","SEDANG"
"2025-01-24","DKI1 (Bunderan HI)",73,52,25,22,10,38,73,"PM25","SEDANG"
"2025-01-25","DKI1 (Bunderan HI)",55,39,24,19,8,24,55,"PM25","SEDANG"
"2025-01-26","DKI1 (Bunderan HI)",59,42,32,16,7,28,59,"PM25","SEDANG"
"2025-01-27","DKI1 (Bunderan HI)",50,35,26,10,7,19,50,"PM25","BAIK"
"2025-01-28","DKI1 (Bunderan HI)",36,31,23,9,6,17,36,"PM25","BAIK"
"2025-01-29","DKI1 (Bunderan HI)",32,25,19,10,8,25,32,"PM25","BAIK"
"2025-01-30","DKI1 (Bunderan HI)",30,25,18,9,17,21,30,"PM25","BAIK"
"2025-01-31","DKI1 (Bunderan HI)",51,37,21,12,16,31,51,"PM25","SEDANG"
"2025-02-01","DKI1 (Bunderan HI)",51,41,19,10,14,27,51,"PM25","SEDANG"
"2025-02-02","DKI1 (Bunderan HI)",47,41,18,9,15,20,47,"PM25","BAIK"
"2025-02-03","DKI1 (Bunderan HI)",45,38,19,9,16,24,45,"PM25","BAIK"
"2025-02-04","DKI1 (Bunderan HI)",73,54,26,17,11,40,73,"PM25","SEDANG"
"2025-02-05","DKI1 (Bunderan HI)",47,40,27,13,10,26,47,"PM25","BAIK"
"2025-02-06","DKI1 (Bunderan HI)",53,41,37,14,11,31,53,"PM25","SEDANG"
"2025-02-07","DKI1 (Bunderan HI)",50,35,30,13,11,29,50,"PM25","BAIK"
"2025-02-08","DKI1 (Bunderan HI)",48,33,31,12,10,34,48,"PM25","BAIK"
"2025-02-09","DKI1 (Bunderan HI)",52,38,33,12,11,25,52,"PM25","SEDANG"
"2025-02-10","DKI1 (Bunderan HI)",38,31,29,11,13,26,38,"PM25","BAIK"
"2025-02-11","DKI1 (Bunderan HI)",51,36,29,13,12,35,51,"PM25","SEDANG"
"2025-02-12","DKI1 (Bunderan HI)",74,54,37,16,16,43,74,"PM25","SEDANG"
"2025-02-13","DKI1 (Bunderan HI)",74,56,35,18,9,39,74,"PM25","SEDANG"
"2025-02-14","DKI1 (Bunderan HI)",68,44,35,13,9,30,68,"PM25","SEDANG"
"2025-02-15","DKI1 (Bunderan HI)",54,34,33,12,7,19,54,"PM25","SEDANG"
"2025-02-16","DKI1 (Bunderan HI)",67,42,36,18,10,26,67,"PM25","SEDANG"
"2025-02-17","DKI1 (Bunderan HI)",NA,44,33,16,6,NA,44,"PM10","BAIK"
"2025-02-18","DKI1 (Bunderan HI)",NA,48,NA,NA,NA,NA,48,"PM10","BAIK"
"2025-02-19","DKI1 (Bunderan HI)",73,53,32,28,6,26,73,"PM25","SEDANG"
"2025-02-20","DKI1 (Bunderan HI)",50,42,31,11,10,22,50,"PM25","BAIK"
"2025-02-21","DKI1 (Bunderan HI)",72,51,40,20,9,30,72,"PM25","SEDANG"
"2025-02-22","DKI1 (Bunderan HI)",63,50,33,22,9,31,63,"PM25","SEDANG"
"2025-02-23","DKI1 (Bunderan HI)",70,56,48,21,8,30,70,"PM25","SEDANG"
"2025-02-24","DKI1 (Bunderan HI)",55,42,28,15,14,28,55,"PM25","SEDANG"
"2025-02-25","DKI1 (Bunderan HI)",66,47,38,19,5,31,66,"PM25","SEDANG"
"2025-02-26","DKI1 (Bunderan HI)",57,45,30,17,7,30,57,"PM25","SEDANG"
"2025-02-27","DKI1 (Bunderan HI)",85,54,36,26,12,50,85,"PM25","SEDANG"
"2025-02-28","DKI1 (Bunderan HI)",57,44,33,13,10,23,57,"PM25","SEDANG"
